black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,23,14,,,
12,2,22,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,2,22,15,,,
12,1,24,14,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
