black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
22,12,34,33,0,0,0
22,12,33,33,0,0,0
22,12,33,33,0,0,0
22,12,33,33,0,0,0
22,12,33,33,0,0,0
22,12,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,12,33,33,0,0,0
22,13,33,33,0,0,0
22,13,34,33,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,31,0,0,0
22,13,34,31,0,0,0
22,13,34,31,0,0,0
22,12,34,30,0,0,0
22,13,34,30,0,0,0
22,13,34,30,0,0,0
22,13,34,31,0,0,0
22,13,34,32,0,0,0
22,13,34,33,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,31,0,0,0
22,13,34,31,0,0,0
22,13,34,32,0,0,0
23,13,34,32,0,0,0
22,13,34,33,0,0,0
22,14,34,33,0,0,0
22,13,34,33,0,0,0
23,13,34,32,0,0,0
22,13,34,31,0,0,0
22,13,34,31,0,0,0
22,13,34,33,0,0,0
22,12,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,12,34,32,0,0,0
22,12,34,32,0,0,0
22,12,34,32,0,0,0
23,12,34,31,0,0,0
22,12,34,31,0,0,0
22,12,34,31,0,0,0
22,12,34,31,0,0,0
22,12,34,31,0,0,0
22,12,34,31,0,0,0
22,12,34,32,0,0,0
22,12,34,32,0,0,0
22,12,34,33,0,0,0
22,12,34,33,0,0,0
22,12,34,33,0,0,0
22,12,34,32,0,0,0
22,12,34,32,0,0,0
22,12,34,32,0,0,0
22,12,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,32,33,0,0,0
22,13,32,34,0,0,0
22,13,33,34,0,0,0
22,13,32,34,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,32,34,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,32,34,0,0,0
22,13,32,33,0,0,0
22,13,32,34,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,32,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,35,32,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,34,0,0,0
22,13,35,34,0,0,0
22,13,35,34,0,0,0
22,13,34,34,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,35,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,34,33,0,0,0
22,13,35,33,0,0,0
22,13,35,33,0,0,0
22,13,35,33,0,0,0
22,13,35,33,0,0,0
22,13,35,33,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,33,32,0,0,0
22,13,34,32,0,0,0
22,13,34,32,0,0,0
22,13,33,32,0,0,0
22,13,34,33,0,0,0
22,13,33,33,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,33,0,0,0
22,13,33,34,0,0,0
22,13,34,33,0,0,0
22,13,33,33,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,34,0,0,0
22,13,33,33,0,0,0
22,13,34,32,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,32,33,0,0,0
22,13,32,33,0,0,0
22,13,32,33,0,0,0
22,13,33,33,0,0,0
22,13,32,33,0,0,0
22,13,32,32,0,0,0
22,13,32,33,0,0,0
22,13,32,33,0,0,0
22,13,32,33,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,33,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,31,0,0,0
22,13,33,32,0,0,0
22,13,33,31,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,32,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,32,0,0,0
23,13,33,32,0,0,0
23,13,33,31,0,0,0
23,13,33,32,0,0,0
23,13,33,32,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,32,0,0,0
23,13,33,32,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
23,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
22,13,33,33,0,0,0
